company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,icp_segments,source
Crescent Technology,https://www.linkedin.com/company/crescentglob,crescentgcc.com,Technology; Information and Internet,Public Company,51-200,9,2010,Atlanta,Georgia,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Sanvello Health,https://www.linkedin.com/company/sanvellohealth,sanvello.com,Mental Health Care,Privately Held,51-200,3,2019,Minneapolis,Minnesota,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
SocialPulsar,https://www.linkedin.com/company/socialpulsar,socialpulsar.com,Advertising Services,Privately Held,51-200,25,2015,San Jose,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Clear Digital,https://www.linkedin.com/company/cleardigitalinc,cleardigital.com,Marketing Services,Privately Held,51-200,38,1999,San Jose,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Ai Media Group,https://www.linkedin.com/company/ai-media-group,aimediagroup.com,Advertising Services,Privately Held,51-200,90,-,New York,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Pieces,https://www.linkedin.com/company/pieces-technologies,piecestech.com,Hospitals and Health Care,Privately Held,51-200,39,2015,Irving,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Lusardi Construction Company,https://www.linkedin.com/company/lusardi-construction,lusardi.com,Construction,Privately Held,201-500,139,1958,San Marcos,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Balcom Agency,https://www.linkedin.com/company/balcom-agency,balcomagency.com,Advertising Services,Privately Held,51-200,55,1993,Fort Worth,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
SCORR Marketing,https://www.linkedin.com/company/scorr-marketing,scorrmarketing.com,Advertising Services,Privately Held,51-200,63,-,Kearney,Nebraska,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"Luddy School of Informatics, Computing, and Engineering, Indianapolis",https://www.linkedin.com/school/iuiluddy,iu.edu,Higher Education,Educational Institution,51-200,180,2000,Indianapolis,Indiana,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"Digital Foundry, Inc.",https://www.linkedin.com/company/digital-foundry,digitalfoundry.com,Software Development,Privately Held,51-200,55,1992,Tiburon,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
PathAI Diagnostics,https://www.linkedin.com/company/pathaidiagnostics,poplarhealthcare.com,Biotechnology Research,Privately Held,201-500,124,-,Memphis,Tennessee,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
TouchCare,https://www.linkedin.com/company/touchcare-health,touchcare.com,Hospitals and Health Care,Privately Held,51-200,65,2013,Stamford,Connecticut,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Hexplora,https://www.linkedin.com/company/hexplora,hexplora.com,Health and Human Services,Privately Held,51-200,36,2013,Rocky Hill,Connecticut,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
SUPERWISE®,https://www.linkedin.com/company/superwiseai,superwise.ai,IT System Data Services,Privately Held,51-200,85,2017,Nashville,Tennessee,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
care.coach,https://www.linkedin.com/company/carecoach,care.coach,Hospitals and Health Care,Privately Held,51-200,77,2015,Millbrae,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
DoctorLogic,https://www.linkedin.com/company/doctorlogic,doctorlogic.com,Technology; Information and Internet,Privately Held,51-200,42,2013,McKinney,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Presence,https://www.linkedin.com/company/presence-llc-,linkedin.com,Software Development,Privately Held,51-200,7,2013,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
FedPoint,https://www.linkedin.com/company/fedpoint,fedpointusa.com,Government Administration,Privately Held,201-500,299,2002,Portsmouth,New Hampshire,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
3DR Labs,https://www.linkedin.com/company/3drlabs,3drlabs.com,Hospitals and Health Care,Privately Held,51-200,219,2005,Louisville,Kentucky,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Arbital Health,https://www.linkedin.com/company/arbital-health,arbitalhealth.com,Technology; Information and Internet,Privately Held,51-200,64,2023,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
The Wallace H. Coulter Department of Biomedical Engineering at Georgia Tech and Emory University,https://www.linkedin.com/school/the-wallace-h-coulter-department-of-biomedical-engineering-at-georgia-tech-and-emory-university,gatech.edu,Biotechnology Research,Educational Institution,51-200,376,-,Atlanta,Georgia,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
ProSomnus® Sleep Technologies,https://www.linkedin.com/company/prosomnus-sleep-technologies,prosomnus.com,Medical Equipment Manufacturing,Public Company,51-200,126,2016,Pleasanton,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Blueberry Pediatrics,https://www.linkedin.com/company/blueberrypediatrics,blueberrypediatrics.com,Hospitals and Health Care,Privately Held,51-200,81,2017,Mountain View,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
NVIT,https://www.linkedin.com/company/nvitech,nvit.tech,IT Services and IT Consulting,Privately Held,51-200,104,2024,Frisco,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Lease A Sales Rep,https://www.linkedin.com/company/rent-a-sales-rep,leaseasalesrep.com,Outsourcing and Offshoring Consulting,Privately Held,51-200,52,2003,Raleigh,North Carolina,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Amtelco,https://www.linkedin.com/company/amtelco,amtelco.com,Telecommunications,Privately Held,51-200,140,1976,McFarland,Wisconsin,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Oblon,https://www.linkedin.com/company/oblon-mcclelland-maier-&-neustadt-llp,oblon.com,Law Practice,Privately Held,201-500,180,1968,Alexandria,Virginia,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
DesignMind,https://www.linkedin.com/company/designmind,designmind.com,IT Services and IT Consulting,Privately Held,51-200,30,2000,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
eLogic (now Avanade),https://www.linkedin.com/company/elogic,elogic.com,Business Consulting and Services,Privately Held,51-200,23,1999,Rochester,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Digitech Services Inc,https://www.linkedin.com/company/digitech-serve-com,digitechserve.com,IT Services and IT Consulting,Public Company,201-500,43,2023,Phoenix,Arizona,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
The IHC Group,https://www.linkedin.com/company/the-ihc-group,ihcgroup.com,Insurance,Public Company,201-500,194,1980,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
IronRod Health,https://www.linkedin.com/company/ironrodhealth,ironrod.health,Hospitals and Health Care,Privately Held,51-200,91,2016,Phoenix,Arizona,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
InCube Labs,https://www.linkedin.com/company/incube-labs,incubelabs.com,Biotechnology Research,Privately Held,51-200,32,1995,San Jose,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
OSU Global Hemp Innovation Center (GHIC),https://www.linkedin.com/company/osu-global-hemp-innovation-center-ghic,oregonstate.edu,Research Services,Nonprofit,51-200,5,2019,Corvallis,Oregon,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"ThinkBio.Ai®, Inc.",https://www.linkedin.com/company/thinkbio-ai,thinkbio.ai,Information Services,Privately Held,201-500,62,2024,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"Glassbeam, Inc",https://www.linkedin.com/company/glassbeam-inc,glassbeam.com,Software Development,Privately Held,51-200,47,-,Santa Clara,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
DRIVE-Health,https://www.linkedin.com/company/drive-health,drive-health.org.uk,Higher Education,Educational Institution,51-200,16,2019,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Dynanet Corporation,https://www.linkedin.com/company/dynanet-corporation,dynanetcorp.com,IT Services and IT Consulting,Privately Held,51-200,92,1995,Elkridge,Maryland,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
ORIL,https://www.linkedin.com/company/oril-software,oril.co,Software Development,Privately Held,51-200,123,2015,Miami,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
HomeCare Providers,https://www.linkedin.com/company/homecareforyou,homecareforyou.com,Home Health Care Services,Sole Proprietorship,201-500,132,1996,Taunton,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Grand Rapids Label,https://www.linkedin.com/company/grand-rapids-label,grlabel.com,Printing Services,Privately Held,51-200,76,1884,Grand Rapids,Michigan,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Sublimation Health,https://www.linkedin.com/company/sublimation-health,sublimationhealth.com,Technology; Information and Internet,Privately Held,51-200,27,2020,Short Hills,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
CN,https://www.linkedin.com/company/cnnews,c-n.expert,Technology; Information and Internet,Educational Institution,51-200,100,2006,New York,Manhattan,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Data Annotation Vendors,https://www.linkedin.com/company/data-annotation-vendors,dataannotationvendors.com,Technology; Information and Internet,Privately Held,51-200,151,2025,-,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Digital Ally Inc.,https://www.linkedin.com/company/digital-ally-inc-,digitalallyinc.com,Public Safety,Public Company,51-200,82,2004,Lenexa,Kansas,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Samsung Levant,https://www.linkedin.com/company/samsunglevant,samsung.com,Consumer Electronics,Public Company,201-500,100,-,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
LIMU,https://www.linkedin.com/company/the-limu-company,thelimucompany.com,Wellness and Fitness Services,Privately Held,51-200,692,2004,Lake Mary,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
DePaul University College of Communication,https://www.linkedin.com/school/cmndepaul,depaul.edu,Higher Education,Educational Institution,201-500,34,2007,Chicago,Illinois,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Valley IT Solutions,https://www.linkedin.com/company/valley-itsolutions,valleyit.com,IT Services and IT Consulting,Partnership,51-200,40,2013,Fargo,North Dakota,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"Fuego Leads, LLC",https://www.linkedin.com/company/fuegoleads,fuegoleads.io,Advertising Services,Privately Held,51-200,35,2019,Columbus,Ohio,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Withhealth,https://www.linkedin.com/company/withhealth,withhealth.com,Hospitals and Health Care,Privately Held,51-200,40,2017,San Diego,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
PANCAID,https://www.linkedin.com/company/pancaid,pancaid-project.eu,Research Services,Nonprofit,51-200,1,-,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Goomi Group,https://www.linkedin.com/company/goomigroup,goomigroup.com,Wellness and Fitness Services,Privately Held,201-500,54,2015,Los Angeles,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Image API (Acquired by Docufree),https://www.linkedin.com/company/image-api,imageapi.com,Information Technology and Services,Privately Held,51-200,81,1993,TALLAHASSEE,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"Aspire Ventures, LLC",https://www.linkedin.com/company/aspire_ventures,aspirevc.com,Venture Capital and Private Equity Principals,Privately Held,51-200,10,2014,Lancaster,Pennsylvania,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
IntelliSoft,https://www.linkedin.com/company/intellisoft_3,intellisoft.io,IT Services and IT Consulting,Privately Held,51-200,21,2007,Las Vegas,Nevada,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Sky Tech Services,https://www.linkedin.com/company/skytechservices,skytechconsultancy.com,IT Services and IT Consulting,Privately Held,51-200,14,-,Towson,Maryland,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Tech Times,https://www.linkedin.com/company/tech-times,techtimes.com,Book and Periodical Publishing,Educational Institution,51-200,24,-,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
A3i Health,https://www.linkedin.com/company/a3ihealth,a3ihealth.com,Hospitals and Health Care,Privately Held,51-200,17,2015,Lake Mary,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Shifa Jeddah Polyclinic,https://www.linkedin.com/company/shifa-jeddah-polyclinic,shifajeddah.com,Hospitals and Health Care,Privately Held,51-200,30,-,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Consumer Health Digest,https://www.linkedin.com/company/consumer-health-digest,consumerhealthdigest.com,Wellness and Fitness Services,Privately Held,51-200,26,2003,New York City,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Impact Health PC,https://www.linkedin.com/company/impact-health-pc,impacthealthpc.com,Hospitals and Health Care,Privately Held,51-200,37,2017,Orange,Connecticut,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
My Vision Express®,https://www.linkedin.com/company/insight-software-llc,myvisionexpress.com,IT Services and IT Consulting,Privately Held,51-200,15,2004,Charlotte,North Carolina,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Chronica,https://www.linkedin.com/company/chronica-care1,hifinite.com,Hospitals and Health Care,Privately Held,51-200,21,2015,San Diego,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"Fi-Med Management, Inc.",https://www.linkedin.com/company/fi-med-management,fimed.com,Hospitals and Health Care,Privately Held,51-200,31,1993,Sedona,Arizona,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
6g-Path,https://www.linkedin.com/company/6g-path,6gpath.eu,Research Services,Partnership,51-200,-,-,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Insighter Biotechnology,https://www.linkedin.com/company/insighter-biotechnology,insighterbt.com,Animal Feed Manufacturing,Self-Owned,51-200,7,2008,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
ClaimSonar  - The Medicare Intelligence Platform,https://www.linkedin.com/company/claimsonar-the-medicare-intelligence-platform,-,Health and Human Services,Privately Held,51-200,-,-,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Gen MediTech,https://www.linkedin.com/company/genzmeditech,genmeditech.com,Medical Practices,Public Company,51-200,7,2016,Westwood,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Healthcare.Report,https://www.linkedin.com/company/the-healthcare-report,healthcare.report,Advertising Services,Privately Held,51-200,-,2013,San Diego,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
AI.io,https://www.linkedin.com/company/aidotio,ai-io.io,Software Development,Privately Held,51-200,2,2016,New York,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Altshuler Berzon LLP,https://www.linkedin.com/company/altshuler-berzon,altshulerberzon.com,Law Practice,Partnership,51-200,47,-,San Francisco,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Alive & Sleek,https://www.linkedin.com/company/alivensleek,alivensleek.com,Retail Apparel and Fashion,Privately Held,51-200,17,2022,Houston,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Witz Group,https://www.linkedin.com/company/witz-group,witzgroup.com,Retail,Privately Held,51-200,26,-,Chester,New York,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
CyberForza,https://www.linkedin.com/company/cyber-forza,cyberforza.com,Computer and Network Security,Privately Held,51-200,9,2017,Santa Clara,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
U.S. Tape and Label,https://www.linkedin.com/company/united-states-tape-and-label,ustl.com,Printing Services,Privately Held,51-200,56,1950,St. Louis,Missouri,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"SuperScribe, LLC",https://www.linkedin.com/company/superscribellc,superscribellc.com,Hospitals and Health Care,Privately Held,51-200,55,2010,Lawrenceville,Georgia,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Healthcarejobs,https://www.linkedin.com/company/healthcarejobs-ai,healthcarejobs.ai,Staffing and Recruiting,Privately Held,51-200,-,2018,Burlington,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"Center for Emerging, Zoonotic, & Arthropod-borne Pathogens",https://www.linkedin.com/company/center-for-emerging-zoonotic-arthropod-borne-pathogens,vt.edu,Research Services,Educational Institution,51-200,3,2020,Blacksburg,Virginia,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
HealthMedia,https://www.linkedin.com/company/healthmedia,healthmedia.com,Wellness and Fitness Services,Public Company,201-500,12,1989,Ann Arbor,Michigan,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Lorain County Public Health,https://www.linkedin.com/company/lorain-county-public-health,loraincountyhealth.com,Government Administration,Government Agency,51-200,58,1920,Elyria,Ohio,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
KForce Tech Solutions,https://www.linkedin.com/company/kforce-tech-solutions,kforcetechsolution.com,IT Services and IT Consulting,Self-Owned,51-200,38,2021,West Windsor,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Medical Practice Success,https://www.linkedin.com/company/medpracticesuccess,mpsrcm.com,Business Consulting and Services,Privately Held,51-200,18,2010,Prairieville,Louisiana,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Banyan,https://www.linkedin.com/company/banyan-inc.,banyan.com,Software Development,Privately Held,51-200,35,2013,Orem,Utah,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
HLG Health Communications,https://www.linkedin.com/company/hlg-health-communications,hlg.com,Advertising Services,Privately Held,51-200,20,1967,Philadelphia,Pennsylvania,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Desert Imaging,https://www.linkedin.com/company/desert-imaging,dielp.com,Hospitals and Health Care,Privately Held,51-200,54,2002,El Paso,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Rittenhouse Book Distributors,https://www.linkedin.com/company/rittenhouse-book-distributors,rittenhouse.com,Book and Periodical Publishing,Privately Held,51-200,23,1946,King of Prussia,Pennsylvania,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
MGTT (Golden Trees) - White Noise Sound Machine Supplier,https://www.linkedin.com/company/mgttus,mgttus.com,Manufacturing,Privately Held,201-500,15,2005,Laguna Hills,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Certified Records Management,https://www.linkedin.com/company/certified-records-management,flacrm.com,IT Services and IT Consulting,Privately Held,51-200,12,1999,Tampa,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Amazinum,https://www.linkedin.com/company/amazinum,amazinum.com,Software Development,Partnership,51-200,44,2019,Hoboken,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
BizAm,https://www.linkedin.com/company/bizam-bots,bizam.com,Software Development,Privately Held,51-200,1,-,Grants Pass,Oregon,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Fairfield Memorial Hospital,https://www.linkedin.com/company/fairfiled-memorial-hospital,fairfieldmemorial.org,Hospitals and Health Care,Nonprofit,51-200,208,1950,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Medent Technologies Llc,https://www.linkedin.com/company/medent-technologies,medenttechnologies.com,IT Services and IT Consulting,Privately Held,51-200,16,2021,Sheridan,Wyoming,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
AMIA Clinical Informatics Fellows (ACIF),https://www.linkedin.com/company/acifellows,amia.org,Medical Practices,Nonprofit,51-200,2,2016,Bethesda,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Healthly.AI is now Shaip,https://www.linkedin.com/company/healthly-ai,shaip.com,IT Services and IT Consulting,Privately Held,201-500,6,2018,Louisville,Kentucky,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
MSP Recovery,https://www.linkedin.com/company/msprecoverymspr,msprecovery.com,IT System Data Services,Public Company,51-200,3,2014,Miami,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Parkway West Career and Technology Center,https://www.linkedin.com/company/parkway-west-ctc,parkwaywest.org,Education Management,Public Company,51-200,34,1970,Oakdale,Pennsylvania,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"Shuntong Chemical (Group) Co.,Ltd",https://www.linkedin.com/company/shuntong-chemical-group-co-ltd,shuntongchemical.com,Wholesale Chemical and Allied Products,Privately Held,51-200,1,-,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Auxfin,https://www.linkedin.com/company/auxfin,auxfin.com,Telecommunications,Privately Held,51-200,13,2006,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
PsychWebMD,https://www.linkedin.com/company/psychwebmd,psychwebmd.com,Hospitals and Health Care,Privately Held,51-200,12,2011,S. Barrington,Illinois,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Right at Home East Bay,https://www.linkedin.com/company/raheastbay,raheastbay.com,Home Health Care Services,Self-Owned,51-200,5,-,Pleasanton,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Analytics Consulting Organization at Berkeley,https://www.linkedin.com/company/analytics-consulting-organization-at-berkeley,google.com,Data Infrastructure and Analytics,Partnership,51-200,3,2022,Berkeley,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Care United Medical Center,https://www.linkedin.com/company/care-united-medical-center,careunited.com,Medical Practices,Privately Held,51-200,33,2007,Forney,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
The Boston Entrepreneurs' Network (dupe),https://www.linkedin.com/company/boston-entrepreneurs'-network,boston-enet.org,Non-profit Organizations,Nonprofit,51-200,2,1991,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
HealthSaaS,https://www.linkedin.com/company/healthsaas-net_2,healthsaas.net,Software Development,Privately Held,51-200,7,2010,Beaverton,Oregon,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"Babyly Medical Device Co.,Ltd",https://www.linkedin.com/company/babyly-medical-device-co-ltd,-,Medical Device,Public Company,51-200,3,2010,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Telecircle communications,https://www.linkedin.com/company/telecircle-communications,linkedin.com,Telephone Call Centers,Public Company,201-500,1,2016,"Richmond,",Virginia,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Hunter Forever,https://www.linkedin.com/company/hunterforever,hunterforever.com,IT Services and IT Consulting,Privately Held,51-200,-,2024,Dallas,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"Integrated Care for Greater Health, Inc. (ICGH)",https://www.linkedin.com/company/integrated-care-for-greater-health-inc-icgh,integratedcarehickory.com,Mental Health Care,Privately Held,51-200,14,2006,Hickory,North Carolina,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Eswasthya,https://www.linkedin.com/company/eswasthya,eswasthya.in,Wellness and Fitness Services,Privately Held,51-200,8,2014,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"SoCal Mobile Medical Services, LLC",https://www.linkedin.com/company/socalmms,socalmms.com,Hospitals and Health Care,Partnership,51-200,7,2020,Cerritos,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Orixer Ai,https://www.linkedin.com/company/orixerai,orixertech.com,Advertising Services,Public Company,51-200,1,2020,The Colony,Texas,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
QoidSoft Technologies,https://www.linkedin.com/company/qoidsoft,linkedin.com,IT Services and IT Consulting,Privately Held,51-200,1,2019,Wilmington,Delaware,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Pivot By Sterlingbridge Insurance,https://www.linkedin.com/company/pivotinsurancemobile,pivot.com,Insurance,Privately Held,51-200,39,1979,Worcester,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"M.Sc. Applied Data Science, Fsh, Srm Ist",https://www.linkedin.com/company/m-sc-applied-data-science-fsh-srm-ist,srmist.edu.in,Higher Education,Educational,201-500,2,2024,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
ReAction® CBD OIL - (FSE) FULL SPECTRUM HEMP EXTRACT,https://www.linkedin.com/company/feelthereaction,cbdfullspectrumhemp.com,Wellness and Fitness Services,Privately Held,51-200,5,2019,Baltimore,Maryland,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Berkeley Roundtable on the International Economy (BRIE),https://www.linkedin.com/company/berkeleyroundtable,berkeley.edu,Higher Education,Educational Institution,51-200,4,-,Berkeley,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Noah Rcm Group,https://www.linkedin.com/company/noah-rcm-group,noahrcm.com,Hospitals and Health Care,Partnership,51-200,3,2025,Louisville,Kentucky,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Pivot,https://www.linkedin.com/company/pivot-com,pivot.com,Insurance,Privately Held,51-200,36,1979,Worcester,Massachusetts,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
"Consolidated Medical Services, Inc.",https://www.linkedin.com/company/consolidated-medical-services-inc.,cmsi-biz.com,Construction,Privately Held,51-200,25,2000,Hunt Valley,Maryland,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
North Houston Veterinary Specialists,https://www.linkedin.com/company/north-houston-veterinary-specialists,nhvetspecialists.com,Veterinary Services,Privately Held,51-200,19,2009,-,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
CodeUpNow,https://www.linkedin.com/company/codeupnow,codeupnow.com,IT Services and IT Consulting,Privately Held,51-200,36,2020,St. Petersburg,Florida,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Young Professionals in Foreign Policy (YPFP) - Global,https://www.linkedin.com/company/ypfp-global-branch,ypfpglobalbranch.com,Non-profit Organizations,Nonprofit,51-200,16,2024,"Washington, D.C.",-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Lexicon Networks,https://www.linkedin.com/company/lexiconnetworks,lexiconnetworks.com,Information Technology and Services,Privately Held,51-200,48,2008,West Chicago,Illinois,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
OpenAIMP,https://www.linkedin.com/company/openaimp,openaimp.com,IT Services and IT Consulting,Privately Held,51-200,8,2020,DAYTON,-,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
Nice/ELAN Home Management,https://www.linkedin.com/company/nice-home-management,elancontrolsystems.com,Computers and Electronics Manufacturing,-,51-200,-,-,Carlsbad,California,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
EduHealth,https://www.linkedin.com/company/eduhealth-system,eduhealthsystem.com,IT Services and IT Consulting,Privately Held,201-500,8,-,Cranbury,New Jersey,US,Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
