company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,icp_segments,source
Jersey Shore University Medical Center,https://www.linkedin.com/company/jersey-shore-university-medical-center,jerseyshoreuniversitymedicalcenter.com,Hospitals and Health Care,Nonprofit,1001-5000,1759,1904,Neptune,New Jersey,US,Sensor Bio - Clinical & Health Systems,Blitz API
BioMatrix Infusion Pharmacy,https://www.linkedin.com/company/biomatrixsprx,biomatrixsprx.com,Hospitals and Health Care,Privately Held,201-500,284,2001,Plantation,Florida,US,Sensor Bio - Clinical & Health Systems | Campaign #1 - Enterprise & Platforms (Casual Connections),Blitz API
ProScribe,https://www.linkedin.com/company/proscribe-llc,proscribemd.com,Hospitals and Health Care,Privately Held,1001-5000,680,2010,San Antonio,Texas,US,Sensor Bio - Clinical & Health Systems,Blitz API
Cantex,https://www.linkedin.com/company/cantex-continuing-care-network,cantexcc.com,Hospitals and Health Care,Privately Held,1001-5000,1117,1978,Carrollton,Texas,US,Sensor Bio - Clinical & Health Systems,Blitz API
Howard Brown Health,https://www.linkedin.com/company/howardbrownhealth,howardbrown.org,Hospitals and Health Care,Nonprofit,501-1000,434,1974,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems,Blitz API
GLACIAL RIDGE HEALTH SYSTEM,https://www.linkedin.com/company/glacial-ridge-health-system,glacialridge.org,Hospitals and Health Care,Nonprofit,201-500,161,-,Glenwood,Minnesota,US,Sensor Bio - Clinical & Health Systems,Blitz API
Community Medical Group,https://www.linkedin.com/company/communitymedicalgroup,communitymedicalgroup.com,Hospitals and Health Care,Partnership,501-1000,179,-,Miami,Florida,US,Sensor Bio - Clinical & Health Systems,Blitz API
Willamette Dental,https://www.linkedin.com/company/willamette-dental,willamettedental.com,Hospitals and Health Care,Privately Held,1001-5000,859,1970,Hillsboro,Oregon,US,Sensor Bio - Clinical & Health Systems,Blitz API
OrthoSynetics,https://www.linkedin.com/company/orthosynetics,orthosynetics.com,Hospitals and Health Care,Privately Held,501-1000,193,1990,Metairie,Louisiana,US,Sensor Bio - Clinical & Health Systems,Blitz API
Mather Hospital,https://www.linkedin.com/company/matherhospital,matherhospital.org,Hospitals and Health Care,Nonprofit,1001-5000,1251,1929,Port Jeffeson,New York,US,Sensor Bio - Clinical & Health Systems,Blitz API
Drayer Physical Therapy Institute,https://www.linkedin.com/company/drayerphysicaltherapy,drayerpt.com,Hospitals and Health Care,Public Company,1001-5000,1070,2002,Hummelstown,Pennsylvania,US,Sensor Bio - Clinical & Health Systems,Blitz API
Tri-City Medical Center,https://www.linkedin.com/company/sharp-tri-city-medical-center,tricitymed.org,Hospitals and Health Care,Government Agency,1001-5000,1392,1961,Oceanside,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
"BioScrip, Inc.",https://www.linkedin.com/company/bioscrip,bioscrip.com,Hospitals and Health Care,Public Company,1001-5000,993,-,Denver,Colorado,US,Sensor Bio - Clinical & Health Systems,Blitz API
Ob Hospitalist Group,https://www.linkedin.com/company/ob-hospitalist-group,obhg.com,Hospitals and Health Care,Privately Held,1001-5000,774,2006,Greenville,South Carolina,US,Sensor Bio - Clinical & Health Systems,Blitz API
AdvantEdge Healthcare Solutions,https://www.linkedin.com/company/advantedge-healthcare-solutions,hpiinc.com,Hospitals and Health Care,Privately Held,501-1000,506,1999,Warren,New Jersey,US,Sensor Bio - Clinical & Health Systems,Blitz API
La Clínica de La Raza,https://www.linkedin.com/company/la-clinica-de-la-raza,laclinica.org,Hospitals and Health Care,Nonprofit,1001-5000,836,1971,Oakland,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
VillageCare,https://www.linkedin.com/company/villagecare,villagecare.org,Hospitals and Health Care,Nonprofit,1001-5000,713,1977,New York,New York,US,Sensor Bio - Clinical & Health Systems,Blitz API
California Nurses Association,https://www.linkedin.com/company/california-nurses-association,calnurses.org,Hospitals and Health Care,Nonprofit,201-500,168,1903,Oakland,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
Tribal Health,https://www.linkedin.com/company/tribalhealth,tribalhealth.com,Hospitals and Health Care,Privately Held,501-1000,151,2015,Scottsdale,Arizona,US,Sensor Bio - Clinical & Health Systems,Blitz API
Antelope Valley Medical Center,https://www.linkedin.com/company/avmedicalcenter,avmc.org,Hospitals and Health Care,Public Company,1001-5000,1405,1955,Lancaster,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
Security Forces Hospital Program - Dammam,https://www.linkedin.com/company/sfhpdmm,sfhd.med.sa,Hospitals and Health Care,Government Agency,1001-5000,853,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Hospital Physician Partners,https://www.linkedin.com/company/hospital-physician-partners,schumacherclinical.com,Hospitals and Health Care,Privately Held,1001-5000,1409,1994,Lafayette,Louisiana,US,Sensor Bio - Clinical & Health Systems,Blitz API
Majestic Care,https://www.linkedin.com/company/majestic-care,majesticcare.com,Hospitals and Health Care,Privately Held,1001-5000,1037,2018,Westfield,Indiana,US,Sensor Bio - Clinical & Health Systems,Blitz API
AdvantageCare Physicians,https://www.linkedin.com/company/advantagecare-physicians,acpny.com,Hospitals and Health Care,Privately Held,1001-5000,776,-,New York,New York,US,Sensor Bio - Clinical & Health Systems,Blitz API
Main Street Health,https://www.linkedin.com/company/mainstreethealth,mainstreetruralhealth.com,Hospitals and Health Care,Privately Held,501-1000,382,2021,Nashville,Tennessee,US,Sensor Bio - Clinical & Health Systems,Blitz API
Meadow Park Rehabilitation & Healthcare Center,https://www.linkedin.com/company/meadow-park-rehabilitation-health-care,meadowparkrehab.com,Hospitals and Health Care,Privately Held,201-500,38,-,Fresh Meadows,New York,US,Sensor Bio - Clinical & Health Systems,Blitz API
Hospital Santa Luzia Luziânia,https://www.linkedin.com/company/hospital-santa-luzia-luzi%c3%a2nia,hsluziania.com.br,Hospitals,Privately Held,501-1000,23,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Nashua Post Acute,https://www.linkedin.com/company/nashua-post-acute,nashuarehab.com,Hospitals and Health Care,Privately Held,501-1000,5,-,Nashua,New Hampshire,US,Sensor Bio - Clinical & Health Systems,Blitz API
H+Brasil Hospital Dia,https://www.linkedin.com/company/h-brasil-hospital-dia,-,Hospitals,Privately Held,201-500,4,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
CARIN MILLIONS,https://www.linkedin.com/company/caring-millions,-,Hospitals and Health Care,Public Company,201-500,3,2014,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Wills Eye Alumni Society,https://www.linkedin.com/company/wills-eye-alumni-society,willsalumni.org,Hospitals and Health Care,Nonprofit,1001-5000,2,-,Philadelphia,Pennsylvania,US,Sensor Bio - Clinical & Health Systems,Blitz API
"University Hospitals Ear, Nose & Throat Institute",https://www.linkedin.com/company/university-hospitals-ear-nose-and-throat-institute,uhhospitals.org,Hospitals and Health Care,Educational Institution,201-500,2,-,Cleveland,Ohio,US,Sensor Bio - Clinical & Health Systems,Blitz API
St. James Mercy Hospital,https://www.linkedin.com/company/st-james-mercy-hospital,stjamesmercy.org,Hospitals and Health Care,Nonprofit,501-1000,115,1890,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
UMASS MEMORIAL MEDICAL CENTER - UNIVERSITY CAMPUS,https://www.linkedin.com/company/umass-memorial-medical-center---university-campus,umassmemorial.org,Hospitals and Health Care,-,1001-5000,107,-,Worcester,Massachusetts,US,Sensor Bio - Clinical & Health Systems,Blitz API
Brookestone Village Rehabilitation & Care Center,https://www.linkedin.com/company/brookestone-village-rehabilitation-care-center,brookestonevillage.com,Hospitals and Health Care,Nonprofit,201-500,82,2000,Omaha,Nebraska,US,Sensor Bio - Clinical & Health Systems,Blitz API
Geneva Wellbeing,https://www.linkedin.com/company/geneva-wellbeing,genevawellbeing.co.nz,Hospitals and Health Care,Privately Held,501-1000,13,2025,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
New Source,https://www.linkedin.com/company/new-source,yournewsource.com,Hospitals and Health Care,Public Company,201-500,12,2003,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems,Blitz API
Franciscan Advisory Services,https://www.linkedin.com/company/franciscan-advisory-services,franciscanministries.org,Hospitals and Health Care,-,501-1000,3,-,Lemont,Illinois,US,Sensor Bio - Clinical & Health Systems,Blitz API
Capital City Medical Group Management Association,https://www.linkedin.com/company/capital-city-medical-group-administrators,ccmgma.com,Hospitals and Health Care,Privately Held,201-500,1,1926,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
International Telemedicine Congress 2011,https://www.linkedin.com/company/international-telemedicine-congress-2011,telemedicinecongress.com,Hospitals and Health Care,Nonprofit,501-1000,-,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Advantage Home Care,https://www.linkedin.com/company/advantagehhc,advantagehhc.com,Hospitals and Health Care,Sole Proprietorship,501-1000,215,1994,Muncie,Indiana,US,Sensor Bio - Clinical & Health Systems,Blitz API
Franciscan Healthcare,https://www.linkedin.com/company/franciscanhealthcare,franhealth.org,Hospitals and Health Care,Nonprofit,201-500,106,1923,West Point,Nebraska,US,Sensor Bio - Clinical & Health Systems,Blitz API
Aurora Medical Center - Oshkosh,https://www.linkedin.com/company/aurora-medical-center-oshkosh,aurorahealthcare.org,Hospitals and Health Care,Nonprofit,1001-5000,101,-,Oshkosh,Wisconsin,US,Sensor Bio - Clinical & Health Systems,Blitz API
memorial hospital chattanooga tn,https://www.linkedin.com/company/memorial-hospital-chattanooga-tn,chattanoogaheart.com,Hospitals and Health Care,-,1001-5000,82,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
The Long Island Home,https://www.linkedin.com/company/the-long-island-home,longislandhome.org,Hospitals and Health Care,Nonprofit,1001-5000,79,-,Amityville,New York,US,Sensor Bio - Clinical & Health Systems,Blitz API
Northeast Residence Inc,https://www.linkedin.com/company/northeast-residence-inc,nerinc.org,Hospitals and Health Care,Nonprofit,501-1000,75,1973,White Bear Lake,Minnesota,US,Sensor Bio - Clinical & Health Systems,Blitz API
Hospital Regional de Biguaçu Helmuth Nass,https://www.linkedin.com/company/hospital-regional-de-bigua%c3%a7u-helmuth-nass,hospitalrhn.com.br,Hospitals,Privately Held,201-500,64,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Clinical Specialties (CSI),https://www.linkedin.com/company/csi---clinical-specialties-incorported,clinicalspecialties.com,Hospitals and Health Care,Privately Held,201-500,34,1988,Brecksville,Ohio,US,Sensor Bio - Clinical & Health Systems,Blitz API
Home Health Resource Group,https://www.linkedin.com/company/hhrgconnect,hhrgconnect.com,Hospitals and Health Care,Nonprofit,201-500,30,-,Burlingame,California,US,Sensor Bio - Clinical & Health Systems,Blitz API
SLG Hospitals by Ajeenkya DY Patil Healthcare,https://www.linkedin.com/company/slg-hospitals-by-ajeenkyadypatilhealthcare,slghospitals.com,Hospitals and Health Care,Public Company,201-500,23,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
Idaho Health Executives Forum -Membership Committee,https://www.linkedin.com/company/idaho-health-executives-forum-ache-chapter,ache.org,Hospitals and Health Care,Nonprofit,201-500,-,-,Boise,Idaho,US,Sensor Bio - Clinical & Health Systems,Blitz API
Louisiana Back Institute,https://www.linkedin.com/company/louisiana-back-institute,louisianaback.com,Hospitals and Health Care,Privately Held,501-1000,-,-,-,-,US,Sensor Bio - Clinical & Health Systems,Blitz API
