company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,segment
Berkshire Health Systems,https://www.linkedin.com/company/berkshire-health-systems,berkshirehealthsystems.org,Hospitals and Health Care,Nonprofit,1001-5000,1865,-,Pittsfield,Massachusetts,US,Sensor Bio - Clinical & Health Systems
Erie Family Health Centers,https://www.linkedin.com/company/erie-family-health-centers,eriefamilyhealth.org,Hospitals and Health Care,Nonprofit,501-1000,624,-,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
HCA HealthONE Swedish,https://www.linkedin.com/company/swedishmedicalcenter-,healthonecares.com,Hospitals and Health Care,Public Company,1001-5000,1753,-,Englewood,Colorado,US,Sensor Bio - Clinical & Health Systems
Freeman Health System,https://www.linkedin.com/company/freeman-health-system,freemanhealth.com,Hospitals and Health Care,Nonprofit,1001-5000,2323,1925,Joplin,Missouri,US,Sensor Bio - Clinical & Health Systems
Revecore,https://www.linkedin.com/company/revecore,revecore.com,Hospitals and Health Care,Privately Held,1001-5000,703,-,Franklin,Tennessee,US,Sensor Bio - Clinical & Health Systems
HSHS St. John's Hospital,https://www.linkedin.com/company/st--john's-hospital,hshs.org,Hospitals and Health Care,Nonprofit,1001-5000,2563,1875,Springfield,Illinois,US,Sensor Bio - Clinical & Health Systems
Medxcel,https://www.linkedin.com/company/medxcel,medxcel.com,Hospitals and Health Care,Privately Held,1001-5000,922,-,Indianapolis,Indiana,US,Sensor Bio - Clinical & Health Systems
Brickyard Healthcare,https://www.linkedin.com/company/brickyard-healthcare,brickyardhc.com,Hospitals and Health Care,Privately Held,1001-5000,574,-,Indianapolis,Indiana,US,Sensor Bio - Clinical & Health Systems
CRH Anesthesia,https://www.linkedin.com/company/crh-anesthesia,crhanesthesia.com,Hospitals and Health Care,Public Company,201-500,98,2014,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems
"Keystone Perfusion Services, P.C.",https://www.linkedin.com/company/keystone-perfusion-services-l-l-c,keystoneperfusion.com,Hospitals and Health Care,Privately Held,201-500,128,2013,Mount Pleasant,South Carolina,US,Sensor Bio - Clinical & Health Systems
