name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Brückner Maschinenbau,brueckner-maschinenbau.com,https://www.linkedin.com/company/br-ckner-maschinenbau-gmbh,Machinery Manufacturing,Public Company,501-1000,27798,,Siegsdorf,Bayern,Germany,https://www.brueckner-maschinenbau.com/en
Atoms,atoms.co,https://www.linkedin.com/company/atomsco,Automation Machinery Manufacturing,Privately Held,1001-5000,27488,,Los Angeles,,United States,https://i.atoms.co/linkedinpage
Greenheck,greenheck.com,https://www.linkedin.com/company/greenheck,Industrial Machinery Manufacturing,Privately Held,1001-5000,27080,1947,Schofield,Wisconsin,United States,https://www.greenheck.com
Deprag Schulz Gmbh U. Co. Kg,deprag.com,https://www.linkedin.com/company/deprag,Machinery Manufacturing,Self-Owned,501-1000,26974,1931,Amberg,Bayern,Germany,https://www.deprag.com
Integrated Power Services,ips.co,https://www.linkedin.com/company/integrated-power-services,Industrial Machinery Manufacturing,Privately Held,1001-5000,26764,2007,Greenville,South Carolina,United States,https://www.ips.co
Tadano Europe,tadano.com,https://www.linkedin.com/company/tadanoeurope,Machinery Manufacturing,Public Company,1001-5000,26746,,Zweibrücken,,Germany,https://group.tadano.com
Heatcraft Refrigeration Products,heatcraftrpd.com,https://www.linkedin.com/company/heatcraftrpd,Industrial Machinery Manufacturing,Public Company,1001-5000,26658,,Stone Mountain,Georgia,United States,https://www.heatcraftrpd.com
"Aquestia - A.R.I., Dorot, Ocv",aquestia.com,https://www.linkedin.com/company/aquestia,Automation Machinery Manufacturing,Public Company,501-1000,26592,,Tulsa,Oklahoma,United States,https://aquestia.com
WIDIA,widia.com,https://www.linkedin.com/company/widiatools,Machinery Manufacturing,Public Company,10001+,26603,1926,Latrobe,Pennsylvania,United States,https://www.widia.com
Martin Sprocket & Gear,martinsprocket.com,https://www.linkedin.com/company/martin-sprocket-&-gear,Industrial Machinery Manufacturing,Privately Held,1001-5000,26517,1951,Arlington,Texas,United States,https://www.martinsprocket.com
"Nortek Air Solutions, LLC",nortekair.com,https://www.linkedin.com/company/nortekairsolutions,Machinery Manufacturing,Privately Held,1001-5000,26590,,Okarche,Oklahoma,United States,https://www.nortekair.com
Harro Höfliger,hoefliger.com,https://www.linkedin.com/company/harro-h-fliger,Machinery Manufacturing,Self-Owned,1001-5000,26456,,Allmersbach Im Tal,Baden-Wurttemberg,Germany,https://www.hoefliger.com
Bausch+Ströbel,bausch-stroebel.com,https://www.linkedin.com/company/bausch-stroebel,Machinery Manufacturing,Privately Held,1001-5000,26270,1967,Ilshofen,,Germany,https://www.bausch-stroebel.com
STULZ,stulz.com,https://www.linkedin.com/company/stulz-global,Industrial Machinery Manufacturing,Privately Held,1001-5000,26134,1947,Hamburg,,Germany,https://www.stulz.com
Sun Hydraulics,sunhydraulics.com,https://www.linkedin.com/company/sun-hydraulics,Industrial Machinery Manufacturing,Public Company,501-1000,25980,1970,Sarasota,Florida,United States,https://www.sunhydraulics.com
