name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Abra Auto Body & Glass,abraauto.com,https://www.linkedin.com/company/abra-auto-body-&-glass,Motor Vehicle Manufacturing,Privately Held,5001-10000,9895,,Charlotte,North Carolina,United States,https://www.abraauto.com
Blue Compass RV,bluecompassrv.com,https://www.linkedin.com/company/bluecompassrv,Motor Vehicle Manufacturing,Privately Held,1001-5000,9839,2018,Fort Lauderdale,Florida,United States,https://www.bluecompassrv.com
IMMI,imminet.com,https://www.linkedin.com/company/immi,Motor Vehicle Manufacturing,Self-Owned,1001-5000,9726,1961,Westfield,Indiana,United States,https://www.imminet.com
Ciocca Automotive,cioccaautomotive.com,https://www.linkedin.com/company/ciocca-automotive,Automotive,Privately Held,1001-5000,9734,,Allentown,Pennsylvania,United States,https://www.cioccaautomotive.com
Rosenbauer America,rosenbaueramerica.com,https://www.linkedin.com/company/rosenbauer-america,Motor Vehicle Manufacturing,Privately Held,501-1000,9568,1866,Lyons,South Dakota,United States,https://www.rosenbaueramerica.com
GHSP,ghsp.com,https://www.linkedin.com/company/ghsp,Motor Vehicle Manufacturing,Privately Held,1001-5000,9504,1924,Holland,Michigan,United States,https://www.ghsp.com
Miller Industries,millerind.com,https://www.linkedin.com/company/millerind,Motor Vehicle Manufacturing,Public Company,1001-5000,9461,1990,Ooltewah,Tennessee,United States,https://www.millerind.com
Nifco America Corp.,nifcousa.com,https://www.linkedin.com/company/nifco-america-corp,Motor Vehicle Manufacturing,Privately Held,501-1000,9422,1987,Canal Winchester,Ohio,United States,https://www.nifcousa.com
Opus IVS - US,opusivs.com,https://www.linkedin.com/company/opus-ivs,Motor Vehicle Manufacturing,Privately Held,501-1000,9365,2018,Dexter,Michigan,United States,https://www.opusivs.com
"Kasai North America, Inc",kasai-na.com,https://www.linkedin.com/company/kasai-na,Motor Vehicle Manufacturing,Privately Held,1001-5000,9244,1986,Murfreesboro,Tennessee,United States,https://www.kasai-na.com
Micro Bird inc.,microbird.com,https://www.linkedin.com/company/microbird-inc-,Automotive,Privately Held,501-1000,9161,,Drummondville,Québec,Canada,https://www.microbird.com
Point S Canada,pointscanada.ca,https://www.linkedin.com/company/unimax-point-s-canada,Motor Vehicle Manufacturing,Self-Owned,5001-10000,9148,1979,Boucherville,Québec,Canada,https://www.pointscanada.ca
BraunAbility,braunability.com,https://www.linkedin.com/company/braunability,Motor Vehicle Manufacturing,Privately Held,1001-5000,9067,1972,Carmel,Indiana,United States,https://www.braunability.com
Endurance,endurancewarranty.com,https://www.linkedin.com/company/endurance-vehicle-protection,Motor Vehicle Manufacturing,Privately Held,501-1000,9004,2006,Northbrook,Illinois,United States,https://www.endurancewarranty.com
AVL in North America,avl.com,https://www.linkedin.com/company/avl-north-america,Motor Vehicle Manufacturing,Privately Held,501-1000,8997,,Plymouth,Michigan,United States,https://www.avl.com/en-us/locations/avl-test-systems-inc
"Autodata Solutions, Part Of J.D. Power",jdpower.com,https://www.linkedin.com/company/autodata-solutions,Motor Vehicle Manufacturing,Privately Held,501-1000,8969,1990,London,Ontario,Canada,https://jdpower.com
West Herr Automotive Group,westherr.com,https://www.linkedin.com/company/westherr,Automotive,Privately Held,1001-5000,8890,1950,Blasdell,New York,United States,https://www.westherr.com
Vuteq Canada Inc,vuteq.ca,https://www.linkedin.com/company/vuteq-canada-inc,Motor Vehicle Manufacturing,Public Company,1001-5000,8871,1988,Woodstock,Ontario,Canada,https://vuteq.ca
The CAR Group (Norm Reeves Dealerships),normreeveshires.com,https://www.linkedin.com/company/thecargroupnormreeves,Motor Vehicle Manufacturing,Privately Held,1001-5000,8818,,Cerritos,California,United States,https://www.normreeveshires.com
Motorcar Parts Of America,motorcarparts.com,https://www.linkedin.com/company/motorcar-parts-of-america,Motor Vehicle Parts Manufacturing,Public Company,1001-5000,8804,1968,Torrance,California,United States,https://motorcarparts.com
