segment,name,domain,linkedin,naics,is_mfg,about,source
Astec-like,Vulcan Materials Company,vulcanmaterials.com,https://www.linkedin.com/company/vulcan-materials-company,"212313,212321,324121,327320",True,"Vulcan Materials Company is the nation’s largest producer of construction aggregates, primarily crushed stone, sand and gravel, and a major producer o",AI Ark lookalike + NAICS filter
Astec-like,FAYAT Group,fayat.com,https://www.linkedin.com/company/fayat,"236117,236220,236210",False,Fondé en 1957 le groupe FAYAT est devenu le premier acteur indépendant français de la construction et de l’industrie. Avec une présence dans 170 pays ,AI Ark lookalike + NAICS filter
Astec-like,SealMaster Official,sealmaster.net,https://www.linkedin.com/company/sealmasternet,-,False,Quality-driven contractors rely on SealMaster® as their one-stop source for pavement maintenance and sport surfacing products and equipment. With an e,AI Ark lookalike + NAICS filter
Astec-like,Titan America,titanamerica.com,https://www.linkedin.com/company/titan-america,"327310,423320,327320",True,"Our Purpose: At Titan America, we are passionate about making the world around us a safe, sustainable and enjoyable place to live.  Our mission is to ",AI Ark lookalike + NAICS filter
Astec-like,Caterpillar Inc.,caterpillar.com,https://www.linkedin.com/company/caterpillar-inc,"333120,333611,531390,333618",True,"For 100 years, we’ve been helping customers build a better, more sustainable world. Our innovative products and services, backed by our global dealer ",AI Ark lookalike + NAICS filter
Astec-like,"HRI, INC.",hriinc.com,https://www.linkedin.com/company/hri-inc-,237310,False,"Since our founding in 1947 as a small, family-owned paving company in State College, Pennsylvania, HRI, Inc. has grown to become a major contractor wo",AI Ark lookalike + NAICS filter
Astec-like,Svevia,svevia.se,https://www.linkedin.com/company/svevia,"237990,237310",False,"Svevia is a specialist in building and maintaining roads, bridges, ports and other infrastructure. We pave the way for new city districts, railways, i",AI Ark lookalike + NAICS filter
Astec-like,Entreprise CHARIER,charier.fr,https://www.linkedin.com/company/entreprise-charier,"541611,812990,237990",False,"Véritable aménageur du territoire, CHARIER s’est imposé comme un acteur incontournable local. A l’actionnariat 100 % familial, l'Entreprise est née en",AI Ark lookalike + NAICS filter
Astec-like,Peab Asfalt i Sverige,peabasfalt.se,https://www.linkedin.com/company/peab-asfalt-i-sverige,"541611,611110,541310",False,"Peab Asfalt asfalterar allt från garageuppfarter, vägar, broar till stora infrastrukturprojekt och utför  underhållsbeläggningar, nybyggnadsbeläggning",AI Ark lookalike + NAICS filter
Astec-like,Chausson Matériaux,chausson.fr,https://www.linkedin.com/company/chausson-materiaux,236117,False,Première entreprise nationale indépendante de distribution de matériaux de construction.  Chausson Matériaux est une société familiale et indépendante,AI Ark lookalike + NAICS filter
Astec-like,Alberici Constructors,alberici.com,https://www.linkedin.com/company/alberici,"237310,236220,236210",False,Alberici is a diversified construction company that partners with leading organizations to build the critical structures that improve lives and streng,AI Ark lookalike + NAICS filter
Astec-like,Lafarge Canada,lafarge.ca,https://www.linkedin.com/company/lafargecanada,"325520,327390,237310,541330",True,"Lafarge Canada is now Amrize, building North America as the partner of choice for professional builders with advanced branded solutions from foundatio",AI Ark lookalike + NAICS filter
Astec-like,PTW Energy Services,ptwenergy.com,https://www.linkedin.com/company/ptw-energy,"551112,335313,541330",True,"PTW is a leading industry solutions provider delivering construction, fabrication and maintenance services. Our network extends across more than 40 br",AI Ark lookalike + NAICS filter
Astec-like,Kilgore Companies,kilgorecompanies.com,https://www.linkedin.com/company/kilgore-companies,"333120,327320,423390,237310",True,"Kilgore Companies is a group of successful construction materials companies offering aggregates, ready mix concrete, paving and construction services.",AI Ark lookalike + NAICS filter
Astec-like,H&E Rentals,he-equipment.com,https://www.linkedin.com/company/hees,"532490,811210,532412",False,"Founded in 1961, H&E is one of the largest equipment rental companies in the nation, providing the higher standard in equipment rentals. With location",AI Ark lookalike + NAICS filter
Astec-like,Stuart Olson Inc.,stuartolson.com,https://www.linkedin.com/company/stuart-olson-inc-,"561110,236116,236220",False,"At Stuart Olson, we're not just dedicated to the Canadian construction and industrial services market – we're passionate about turning projects into s",AI Ark lookalike + NAICS filter
Astec-like,EDCO,edcoinc.com,https://www.linkedin.com/company/edcousa,"532282,449210,423830,444180",False,"EDCO is family-owned American manufacturer of Surface Preparation, Floor Grinding, Removal, Sawing, and Drilling Equipment. EDCO brands include Magna-",AI Ark lookalike + NAICS filter
Astec-like,Graham,grahambuilds.com,https://www.linkedin.com/company/grahambuilds,"561110,236220,236210",False,"Graham is an employee-owned construction solutions partner that provides general contracting, design-build, construction management and public-private",AI Ark lookalike + NAICS filter
Astec-like,Zachry Construction Corporation,zachryconstructioncorp.com,https://www.linkedin.com/company/zachry-corporation,"237310,237110,236220,237990",False,"As a third-generation, privately held family company with more than a century of experience, Zachry Construction has successfully delivered more than ",AI Ark lookalike + NAICS filter
Astec-like,FM Conway Ltd,fmconway.co.uk,https://www.linkedin.com/company/fm-conway-ltd,"237310,562920",False,"FM Conway is a leading infrastructure services company delivering vital services in transportation, the built environment and open spaces for communit",AI Ark lookalike + NAICS filter
